ID,Name,Type,Priority,Status,Description
REQ-001,Многорастное управление,Functional,High,Proposed,Система должна поддерживать управление поливом нескольких растений с независимыми настройками.
REQ-002,Автономная работа,Non-Functional,High,Proposed,Система должна корректно функционировать в автономном режиме без подключения к сети не менее 7 дней.
REQ-101,Контроль влажности почвы,Functional,High,Proposed,Система должна измерять уровень влажности почвы с помощью датчиков.
REQ-102,Автоматический полив,Functional,High,Proposed,Система должна включать полив при понижении влажности ниже заданного порога.
REQ-103,Остановка полива,Functional,High,Proposed,Полив должен автоматически прекращаться при достижении заданного уровня влажности.
REQ-104,Ручной режим,Functional,Medium,Proposed,Пользователь должен иметь возможность вручную запускать полив.
REQ-105,Настройка порогов,Functional,High,Proposed,Пользователь должен задавать индивидуальные пороги влажности для каждого растения.
REQ-106,Расписание полива,Functional,Medium,Proposed,Система должна поддерживать настройку расписания полива.
REQ-107,Интерфейс отображения данных,Functional,Medium,Proposed,Пользователь должен иметь доступ к данным датчиков через UI.
REQ-108,Уведомления,Functional,Medium,Proposed,Система должна уведомлять о низком уровне воды в резервуаре.
REQ-201,Защита от перелива,Non-Functional,High,Proposed,Система должна предусматривать защиту от избыточного полива.
REQ-202,Защита от сбоев питания,Non-Functional,Medium,Proposed,Настройки должны сохраняться при отключении питания.
REQ-203,Безопасность пользователя,Non-Functional,High,Proposed,Компоненты должны быть влагозащищены и безопасны.
REQ-204,Простота установки,Non-Functional,Medium,Proposed,Установка не должна занимать более 30 минут.
REQ-205,Масштабируемость,Non-Functional,Medium,Proposed,Система должна поддерживать дополнительные зоны полива.
REQ-301,Работа от 220В или USB,Constraint,Medium,Proposed,Источник питания — 220В или USB 5В.
REQ-302,Wi-Fi или Bluetooth,Constraint,Medium,Proposed,Управление через Wi‑Fi или Bluetooth.
REQ-303,Аппаратная совместимость,Constraint,Medium,Proposed,Компоненты совместимы с выбранным контроллером.
REQ-401,Отображение текущих данных,Functional,Medium,Proposed,UI должен показывать текущие параметры системы.
REQ-402,Изменение настроек,Functional,Medium,Proposed,"Пользователь может менять пороги, расписания и режимы."
