ID,Name,Description,Priority,Status,Type
BR-01,Обеспечение жизнеспособности растений,"Система должна поддерживать здоровье растений в отсутствие пользователя, обеспечивая своевременный полив.",High,Proposed,Business
BR-02,Экономия времени пользователя,"Система должна автоматизировать процесс ухода за растениями, минимизируя участие пользователя.",High,Proposed,Business
BR-03,Исключение ошибок полива,Система должна предотвращать перелив и пересушивание почвы.,High,Proposed,Business
BR-04,Уведомления о событиях,"Система должна уведомлять пользователя об окончании воды, сбоях и других важных событиях.",Medium,Proposed,Business
BR-05,Простота использования,"Система должна быть проста в установке, настройке и использовании.",High,Proposed,Business
BR-06,Гибкость под разные растения,Система должна поддерживать разные параметры полива для различных растений.,Medium,Proposed,Business
BR-07,Масштабируемость,Система должна поддерживать добавление новых зон полива.,Medium,Proposed,Business
BR-08,Безопасность и надежность,"Система должна быть безопасна, защищена от протечек и электрических рисков.",High,Proposed,Business
BR-09,Энергоэффективность,Система должна обладать низким энергопотреблением.,Medium,Proposed,Business
BR-10,Интеграция с умным домом,Опционально система может интегрироваться с платформами умного дома.,Low,Proposed,Business
BR-11,Эстетичность и компактность,Система должна быть компактной и эстетичной для размещения в интерьере.,Medium,Proposed,Business
